School,Rush Rank,Pass Rank,Tot Off Rank,Rush Def Rank,Pass Def Rank,Score Def Rank,Punt Ret Rank,KO Ret Rank,TO Margin Rank,Penalty Yds Rank,Def Punt Ret Rank,Def KO Ret Rank,Def Sacks Rank,Def Tckl Loss Rank,Off 3rd Dwn Rank,Def 3rd Dwn Rank,Off 4th Dwn Rank,Def 4th Dwn Rank,Wins,Losses,Ties,Win Pct
Air Force,8,99,36,84,94,100,45,78,95,17,19,2,112,90,31,99,2,98,4,7,0,36.36
Akron,103,21,54,71,16,52,73,53,90,78,48,106,42,16,93,38,92,5,7,6,0,53.85
Alabama,65,69,67,9,5,1,82,26,22,20,42,28,57,60,69,3,96,30,10,2,0,83.33
Arizona,88,48,74,93,72,64,37,15,105,46,112,51,60,93,54,21,107,27,3,8,0,27.27
Arizona St.,58,3,2,89,112,86,8,10,23,115,107,68,88,47,12,76,54,36,7,5,0,58.33
Arkansas,12,108,66,35,45,54,52,1,65,66,25,76,20,15,75,29,79,114,4,7,0,36.36
Arkansas St.,27,95,62,96,27,56,47,89,35,109,47,20,57,66,73,74,113,84,6,6,0,50.00
Army,66,97,101,83,10,66,89,96,70,16,75,13,112,112,55,58,35,74,4,7,0,36.36
Auburn,25,70,37,22,32,6,77,2,74,15,71,69,11,35,14,16,7,36,9,3,0,75.00
Ball St.,98,93,106,105,95,112,40,52,44,68,76,97,99,39,107,91,37,36,4,7,0,36.36
Baylor,99,76,97,74,57,65,29,14,30,98,70,21,75,88,55,88,88,108,5,6,0,45.45
Boise St.,19,62,29,16,100,51,18,12,94,95,17,29,17,73,13,25,82,33,9,4,0,69.23
Boston College,59,35,51,5,62,7,50,50,80,52,69,8,13,11,25,20,29,10,9,3,0,75.00
Bowling Green,61,17,27,86,37,72,16,101,20,27,1,74,71,76,32,78,41,16,6,5,0,54.55
Brigham Young,51,6,13,57,104,83,85,110,50,103,79,90,74,72,17,90,54,42,6,6,0,50.00
Buffalo,101,100,112,99,9,84,115,113,114,84,100,10,92,90,109,43,85,34,1,10,0,9.09
